,time (min),LS,time (min).1,UV
0,-0.0887844137336825,0.00211149959073563,0.0486833333333333,3.93922503157831e-05
1,-0.0805946309403321,0.00161233465703654,0.0568731161266836,4.7004945169974296e-05
2,-0.0724048481469818,-0.0016380583287736801,0.065062898920034,5.3976543879412e-05
3,-0.0642150653536315,-0.00195977390868548,0.0732526817133843,5.8071806426952796e-05
4,-0.0560252825602812,-0.0018695423783225802,0.0814424645067346,5.74690798637631e-05
5,-0.0478354997669308,0.0009466511397433051,0.0896322473000849,5.28171898866125e-05
6,-0.0396457169735805,0.0016938932724920401,0.0978220300934353,4.6179549286713796e-05
7,-0.0314559341802302,0.00113660365562241,0.10601181288678599,3.79799004979582e-05
8,-0.0232661513868799,0.00057931403875334,0.114201595680136,3.46178059624315e-05
9,-0.0150763685935296,-0.000823485157979197,0.12239137847348598,3.9531355834949605e-05
10,-0.00688658580017923,-0.00012196401989175,0.130581161266837,4.83135427322682e-05
11,0.00130319699317109,0.0005795571181956981,0.13877094406018697,5.59410033580234e-05
12,0.00949297978652142,0.00047118105918429406,0.14696072685353698,6.17301256532178e-05
13,0.0176827625798717,0.000362805000171787,0.155150509646887,6.52593714773933e-05
14,0.0258725453732221,-4.3007828996401795e-05,0.163340292440238,6.48450670938724e-05
15,0.0340623281665724,-0.000608923071252862,0.171530075233588,6.84431104396188e-05
16,0.0422521109599227,-0.000929733418182228,0.17971985802693802,7.89522026743168e-05
17,0.050441893753272994,-0.0017826957620405198,0.18790964082028896,8.68810817300914e-05
18,0.0586316765466233,-0.000326895408217927,0.196099423613639,9.20985597028707e-05
19,0.0668214593399737,0.00048434057288962803,0.204289206406989,9.44728443407494e-05
20,0.07501124213332401,9.88384639727943e-05,0.21247898920034,9.50739870753336e-05
21,0.0832010249266743,-0.000286663644944591,0.22066877199368998,9.48404814795601e-05
22,0.0913908077200246,-0.00118920023878567,0.22885855478704,9.16157797434723e-05
23,0.09958059051337499,-0.00131691745680054,0.237048337580391,8.72844062766488e-05
24,0.10777037330672501,-0.00144463467481486,0.24523812037374101,8.593007963802221e-05
25,0.11596015610007598,-0.0012695467068576198,0.253427903167091,8.9715814231926e-05
26,0.12414993889342599,-0.00114704602458651,0.261617685960442,9.77007763458003e-05
27,0.132339721686776,-0.00113834974463628,0.269807468753792,0.000103382668478274
28,0.140529504480127,-0.00138404787135212,0.27799725154714194,0.000106319608001684
29,0.14871928727347697,-0.0016297459980674,0.28618703434049203,0.000106384973684132
30,0.156909070066827,0.00044028315115198603,0.294376817133843,0.00010515929123441801
31,0.165098852860178,0.000644096479590141,0.302566599927193,0.000103422388534433
32,0.173288635653528,0.00048495928343059104,0.310756382720543,0.00010099497410244
33,0.181478418446878,0.000325822087271041,0.318946165513894,9.75366850509066e-05
34,0.189668201240228,-0.000123651530145481,0.32713594830724396,8.7211770983028e-05
35,0.19785798403357896,0.00140421543250332,0.335325731100594,6.848772386465479e-05
36,0.206047766826929,0.0014284630331946198,0.34351551389394497,4.894312859622921e-05
37,0.214237549620279,0.0010849309180476301,0.351705296687295,3.0539908544738e-05
38,0.22242733241363,0.000741398802900085,0.359895079480645,1.18654066436191e-05
39,0.23061711520698,3.00869719131456e-05,0.368084862273996,-8.117838323019e-06
40,0.23880689800033,5.56041517885119e-05,0.37627464506734604,-2.1509878579869e-05
41,0.24699668079368103,0.000201002346520108,0.384464427860696,-2.5072940738838198e-05
42,0.255186463587031,0.000346400541251152,0.392654210654046,-2.56262787552817e-05
43,0.26337624638038104,0.00103924076414298,0.4008439934473971,-2.3892092874077397e-05
44,0.271566029173732,0.00201537252652949,0.409033776240747,-2.1369141686686602e-05
45,0.279755811967082,0.00218829596434844,0.417223559034097,-1.46396905560745e-05
46,0.287945594760432,0.00259127714547042,0.425413341827448,-1.70847654455481e-06
47,0.296135377553782,0.0021026631669547,0.43360312462079803,1.1922015532461802e-05
48,0.304325160347133,0.0016140491884389801,0.44179290741414795,2.3107168537153303e-05
49,0.312514943140483,0.000628479629832821,0.449982690207499,3.01911111287095e-05
50,0.32070472593383303,0.00060314414823423,0.45817247300084896,3.080672921495e-05
51,0.32889450872718395,0.000577808666635087,0.466362255794199,1.8102202903565803e-05
52,0.337084291520534,0.000430816928547279,0.47455203858755,-2.80594043278512e-06
53,0.345274074313884,0.0007957696839908361,0.4827418213809,-1.69061402340226e-05
54,0.353463857107235,0.0007709439493917401,0.49093160417424997,-1.9866722627781302e-05
55,0.361653639900585,0.000746118214793196,0.4991213869676,-1.70039505274703e-05
56,0.36984342269393494,9.307857514313e-05,0.5073111697609509,-1.4881039829903602e-05
57,0.37803320548728603,3.30534979159075e-05,0.5155009525543011,-1.3882330274797102e-05
58,0.386222988280636,-2.69715793118667e-05,0.5236907353476521,-9.74884061965878e-06
59,0.394412771073986,-0.000348204481693177,0.531880518141002,-1.42124536290426e-06
60,0.402602553867336,-0.000260346808883201,0.540070300934352,5.51018156450494e-06
61,0.41079233666068704,-0.000356323116680404,0.548260083727703,1.01764874489483e-05
62,0.418982119454037,-0.000452299424477055,0.556449866521053,1.32411080349845e-05
63,0.42717190224738705,-0.00139527655077283,0.5646396493144029,1.48859765227212e-05
64,0.43536168504073797,0.000737230535574451,0.572829432107754,1.4811872680719502e-05
65,0.443551467834088,0.00330538986961517,0.581019214901104,1.3072164916795699e-05
66,0.451741250627438,0.004157490368445461,0.589208997694454,7.04279696316579e-06
67,0.459931033420789,0.00416128116213521,0.597398780487805,-2.3475807066002104e-06
68,0.4681208162141389,0.0019004080806381,0.605588563281155,-1.0481888022375801e-05
