,time (min),Molar Mass 1,time (min).1,Molar Mass 2,time (min).2,LS,time (min).3,UV
89,23.6697754697756,32018.9934876922,26.1840387873342,14775.6108692395,22.818038059267202,0.0283129733596751,22.816279498847198,0.0117399240725586
90,23.677965252569,31282.417207363902,26.1922285701275,14732.0223129007,22.8262278420605,0.0284083400881301,22.8244692816406,0.0120576829092214
91,23.6861550353623,33789.9518722513,26.2004183529209,14739.4476058701,22.8344176248539,0.0285037068165846,22.832659064433898,0.0123742435831996
92,23.6943448181557,54120.530740643204,26.208608135714197,14853.497574538402,22.8426074076472,0.0294124878971451,22.840848847227303,0.0126910650099719
93,23.702534600949,41100.199030489304,26.2167979185076,14934.178382305101,22.850797190440602,0.0288011154191721,22.849038630020598,0.0130064777059102
94,23.7107243837424,33070.3684336004,26.224987701300897,14996.3565296853,22.8589869732339,0.0281897429411992,22.857228412814003,0.013316691436997
95,23.718914166535697,31211.3195586698,26.233177484094302,14902.7725030854,22.867176756027302,0.0280548116217668,22.8654181956073,0.0136294557749955
96,23.7271039493291,31075.9004249856,26.241367266887604,14789.1229011945,22.8753665388206,0.0296672217288869,22.8736079784007,0.0139521040207476
97,23.735293732122397,32387.0134203971,26.249557049681002,14736.5841388676,22.883556321613998,0.030807591971148997,22.881797761194,0.0142905159385321
98,23.7434835149158,35191.8033664662,26.2577468324743,14693.588213629298,22.8917461044073,0.0315140920770731,22.8899875439874,0.0146374264687857
99,23.751673297709104,35450.372262555094,26.2659366152677,14779.002313500301,22.899935887200698,0.0316809100394939,22.8981773267807,0.0149795651719362
100,23.7598630805025,35863.7279018727,26.274126398061,14812.8576779255,22.908125669994,0.0318477280019141,22.906367109574102,0.0153262641512756
101,23.768052863295804,36299.2338852515,26.282316180854398,14775.2071497307,22.916315452787398,0.0335749738128221,22.914556892367397,0.0156810124598853
102,23.7762426460892,35270.607002758,26.2905059636477,14744.603709811001,22.924505235580696,0.0347765777893648,22.9227466751608,0.0160316786895126
103,23.7844324288825,36695.9057093234,26.2986957464411,14694.9902906091,22.9326950183741,0.0347825626321008,22.9309364579541,0.0163757268219718
104,23.792622211675898,36435.5571858368,26.3068855292344,14804.7060560974,22.940884801167396,0.0356290968613845,22.9391262407475,0.0167221501378925
105,23.8008119944692,35906.1809202238,26.3150753120278,14772.3191892495,22.9490745839608,0.0364756310906682,22.9473160235408,0.0170770791624316
106,23.8090017772626,34565.338777181605,26.3232650948211,14722.0469989958,22.957264366754103,0.0380267708158877,22.9555058063342,0.0174361640872157
107,23.8171915600559,32967.1081348517,26.331454877614497,14738.853986280801,22.9654541495475,0.0382260486633231,22.963695589127497,0.0177912956944277
108,23.8253813428493,31778.5913055156,26.3396446604078,14761.8553762076,22.973643932340803,0.0382414535361754,22.9718853719209,0.0181445727412391
109,23.8335711256426,31911.6415498624,26.347834443201197,14744.515232818001,22.9818337151342,0.0381649219217356,22.980075154714196,0.0185052759133034
110,23.841760908435997,33109.4945714697,26.356024225994503,14805.6660936546,22.9900234979275,0.038088390307297,22.9882649375076,0.0188698788008369
111,23.8499506912293,39194.614753943904,26.3642140087879,14776.514138556999,22.998213280720897,0.039054645292204,22.9964547203009,0.0192320823160901
112,23.858140474022697,38986.889040970695,26.372403791581203,14765.993800531201,23.0064030635142,0.0400432726503946,23.0046445030943,0.0195996917280178
113,23.866330256816,38113.0854710552,26.3805935743746,14732.0581820606,23.0145928463076,0.0410203979045575,23.012834285887603,0.0199792487912608
114,23.8745200396094,36708.3122103908,26.3887833571679,14727.597123998501,23.0227826291009,0.0426843730403384,23.021024068681,0.0203650306951018
115,23.882709822402703,34901.9300389563,26.3969731399613,14747.8751708101,23.030972411894304,0.0429180107645978,23.0292138514743,0.0207561014087965
116,23.8908996051961,36161.3804716148,26.405162922754602,14790.3910517918,23.0391621946876,0.0431516484888573,23.037403634267697,0.0211551690010831
117,23.899089387989395,38435.7157227831,26.413352705548,14818.7142095324,23.047351977480997,0.0439813192116891,23.045593417061,0.021553926472478998
118,23.9072791707828,40661.2251582728,26.421542488341302,14807.0511084142,23.055541760274302,0.0453657210444184,23.053783199854397,0.0219447122484212
119,23.915468953576102,42122.285839360804,26.4297322711347,14772.094412081698,23.0637315430677,0.0459566146195697,23.0619729826477,0.0223323222701869
120,23.9236587363695,36271.8307091389,26.437922053928,14815.069598698401,23.071921325861002,0.0465475081947216,23.070162765441104,0.0227239639781157
121,23.931848519162802,33958.653436428904,26.446111836721396,14840.3028889227,23.0801111086544,0.0466235091410248,23.078352548234403,0.0231176324657482
122,23.9400383019562,33372.9162918829,26.4543016195147,14811.1264632063,23.0883008914477,0.0466995100873275,23.0865423310278,0.0235078563946404
123,23.9482280847495,32796.5628510607,26.462491402308103,14833.303446064,23.0964906742411,0.0471267359595403,23.094732113821102,0.0238950163981118
124,23.956417867542896,31816.909746214198,26.470681185101398,14841.348359265301,23.104680457034398,0.0486604764970584,23.1029218966145,0.0242822264154601
125,23.964607650336198,31640.0087068696,26.478870967894803,14815.6788046497,23.1128702398278,0.0496835626637406,23.111111679407802,0.0246721815006595
126,23.972797433129603,33086.0705988523,26.4870607506881,14796.3576530371,23.1210600226211,0.05285901062088099,23.1193014622012,0.0250651199058587
127,23.980987215922898,33803.4980049361,26.4952505334815,14833.201828026899,23.1292498054145,0.0537777701708888,23.127491244994502,0.0254467037267177
128,23.989176998716303,34439.976811422996,26.5034403162748,14814.784203789099,23.1374395882078,0.0538132939803535,23.1356810277879,0.0258148067602448
