Method,Cell,Temperature,195.0,196.0,197.0,198.0,199.0,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,208.0,209.0,210.0,211.0,212.0,213.0,214.0,215.0,216.0,217.0,218.0,219.0,220.0,221.0,222.0,223.0,224.0,225.0,226.0,227.0,228.0,229.0,230.0,231.0,232.0,233.0,234.0,235.0,236.0,237.0,238.0,239.0,240.0,241.0,242.0,243.0,244.0,245.0,246.0,247.0,248.0,249.0,250.0
CircularDichroism,1,20.0,-0.203367,0.0414487,-0.213606,-0.29605,-0.887638,-2.3736,-4.42714,-6.47185,-9.35092,-11.7286,-13.7613,-15.2605,-16.0843,-15.9729,-16.0733,-15.6604,-14.9292,-14.8001,-14.5361,-13.9813,-13.8021,-13.3799,-13.013,-12.5883,-11.8973,-11.1328,-10.4884,-9.93415,-9.19685,-8.65667,-7.80211,-6.8795,-6.47015,-5.54157,-4.35985,-3.43418,-2.6694,-2.00609,-1.79849,-1.58579,-1.80005,-1.72579,-1.66244,-1.5374,-1.70289,-1.75869,-1.621,-1.56189,-1.54374,-1.38626,-1.18292,-0.947311,-0.952924,-0.858598,-0.489278,-0.512927
CircularDichroism,1,22.0,-0.158505,0.225184,-0.168624,-0.43879,-1.00966,-2.17981,-3.99851,-6.58901,-8.90966,-11.7647,-13.98,-15.2918,-15.9017,-16.1942,-16.2585,-15.6275,-15.1913,-14.6595,-14.3255,-14.0,-13.8006,-13.2352,-12.8713,-12.5369,-11.6351,-11.3634,-10.34,-9.96286,-9.2116,-8.55391,-7.75923,-7.04002,-6.36838,-5.64267,-4.50318,-3.50658,-2.49011,-2.01026,-1.76061,-1.78239,-1.82988,-1.68387,-1.65784,-1.60851,-1.69101,-1.79533,-1.62259,-1.47052,-1.53015,-1.3403,-1.02673,-1.00697,-0.976831,-0.862436,-0.495259,-0.550436
CircularDichroism,1,24.0,0.0387004,-0.0532427,-0.161057,-0.31269,-1.13993,-2.02531,-4.10121,-6.67802,-9.13179,-11.7861,-14.1917,-15.1502,-16.1104,-16.3857,-16.1734,-15.7069,-15.1118,-14.8742,-14.4439,-14.1285,-13.6747,-13.4323,-13.0124,-12.6089,-11.9938,-11.1785,-10.4494,-10.15,-9.22289,-8.58419,-7.95436,-6.94393,-6.27773,-5.52366,-4.34664,-3.51037,-2.68394,-2.13242,-1.91576,-1.88035,-1.74799,-1.72127,-1.76348,-1.73839,-1.83032,-1.64831,-1.70796,-1.52198,-1.53278,-1.30582,-1.05393,-0.92213,-0.934676,-0.725443,-0.551587,-0.503892
CircularDichroism,1,26.0,-0.00225732,0.188778,-0.190813,-0.470743,-0.724251,-2.43778,-4.05665,-6.53171,-9.1059,-11.8759,-14.1203,-15.1333,-16.1206,-16.2395,-16.1476,-15.7449,-15.0488,-14.9151,-14.4588,-13.9686,-13.5976,-13.2389,-13.0841,-12.2844,-11.7339,-11.4066,-10.6934,-10.0028,-9.4375,-8.63089,-7.88475,-6.95939,-6.15248,-5.45995,-4.39326,-3.4471,-2.75112,-2.16727,-1.95207,-1.87255,-1.85262,-1.88367,-1.70855,-1.63377,-1.73356,-1.79595,-1.64142,-1.64371,-1.48235,-1.36185,-1.13251,-0.929832,-0.969652,-0.72845,-0.550491,-0.495327
CircularDichroism,1,28.0,-0.138096,-0.21024,-0.0556411,-0.317555,-1.20341,-2.10069,-3.73769,-6.57006,-9.2246,-11.7269,-13.9007,-15.4507,-15.9389,-16.1004,-16.0491,-15.406,-15.0845,-14.6948,-14.2978,-13.8311,-13.4868,-13.1575,-12.97,-12.3277,-11.7529,-11.3858,-10.3976,-10.0423,-9.24784,-8.67721,-7.79965,-6.96389,-6.34668,-5.46333,-4.32191,-3.53487,-2.70785,-2.30339,-1.8857,-1.80441,-1.75369,-1.66265,-1.76731,-1.64959,-1.75521,-1.70603,-1.6665,-1.54628,-1.36518,-1.27582,-1.16039,-0.995895,-0.840381,-0.822014,-0.575815,-0.541883
CircularDichroism,1,30.0,-0.299356,0.0259113,0.200893,-0.183603,-1.11198,-1.92245,-3.71004,-5.95713,-9.21424,-11.5804,-14.0967,-15.16,-16.0957,-16.2413,-16.0303,-15.4311,-15.0886,-14.7238,-14.4023,-14.1021,-13.3994,-13.2496,-12.8208,-12.2518,-11.6504,-11.1722,-10.3734,-9.96483,-9.09616,-8.46372,-7.77998,-7.01938,-6.27496,-5.73073,-4.52028,-3.49306,-2.82374,-2.16663,-1.94737,-1.89341,-1.74602,-1.70556,-1.6986,-1.55174,-1.77504,-1.69265,-1.65038,-1.54976,-1.50184,-1.35307,-1.05659,-1.053,-0.974015,-0.786705,-0.55278,-0.518707
CircularDichroism,1,32.0,-0.129128,-0.136656,-0.167169,-0.311366,-0.765732,-2.0871,-3.449,-6.06998,-8.75131,-11.1715,-13.7451,-15.0195,-16.0027,-15.9459,-16.0862,-15.4897,-14.9942,-14.5116,-14.3619,-13.8543,-13.5462,-13.2438,-12.6566,-12.3813,-11.7919,-11.0449,-10.3588,-9.9567,-9.49818,-8.67413,-7.98292,-7.1074,-6.31208,-5.46145,-4.43099,-3.64789,-2.80605,-2.27481,-1.9519,-1.88427,-1.80849,-1.8779,-1.79495,-1.79051,-1.70545,-1.78055,-1.70686,-1.53253,-1.52529,-1.25858,-1.06131,-0.862468,-0.840885,-0.768276,-0.480047,-0.578822
CircularDichroism,1,34.0,-0.237195,0.159962,-0.132971,0.101385,-0.782334,-1.37826,-3.81108,-5.99241,-8.74483,-11.2737,-13.5339,-14.9619,-15.886,-16.0401,-15.9532,-15.6828,-15.2076,-14.6311,-14.236,-13.7411,-13.2462,-12.9752,-12.8193,-12.3449,-11.6816,-10.9918,-10.5082,-9.77187,-9.25274,-8.38964,-7.79729,-6.83493,-6.24364,-5.39641,-4.56514,-3.66979,-2.86215,-2.21869,-2.01539,-1.96712,-1.75854,-1.79858,-1.69197,-1.58978,-1.82537,-1.69618,-1.69017,-1.61085,-1.52974,-1.28925,-1.07215,-0.932871,-0.792991,-0.795231,-0.484437,-0.521706
CircularDichroism,1,36.0,-0.0631534,-0.198575,0.0717085,-0.50998,-0.581424,-1.65404,-3.26949,-5.92425,-8.44019,-11.1396,-13.5168,-14.9919,-15.6657,-16.1689,-15.6978,-15.2736,-15.1263,-14.4357,-14.2568,-13.9132,-13.3179,-12.9871,-12.7488,-11.9951,-11.7151,-11.1154,-10.2681,-9.85363,-9.17499,-8.50555,-7.53725,-7.04683,-6.22012,-5.50453,-4.54722,-3.61246,-2.74837,-2.32642,-2.00958,-1.90845,-1.80966,-1.74723,-1.71735,-1.73642,-1.71079,-1.71849,-1.57773,-1.60027,-1.3491,-1.34285,-1.09571,-0.99068,-0.874384,-0.684003,-0.512204,-0.530121
