,time (min),LS,time (min).1,UV
0,-0.072859351910588,0.00345690860312145,0.04185,-0.00417330104555027
1,-0.0646695679431143,0.00240012513990017,0.0500397839674738,-0.00437153369353479
2,-0.0564797839756405,0.00134334167667933,0.0582295679349475,-0.00455713131400114
3,-0.0482900000081668,0.00296763702475134,0.0664193519024213,-0.0047321879748247
4,-0.040100216040693,0.00349579404561281,0.07460913586989501,-0.00489780131388811
5,-0.0319104320732193,0.00347442526940321,0.0827989198373688,-0.00505465854640702
6,-0.0237206481057455,0.00345305649319361,0.0909887038048425,-0.00520274853162217
7,-0.0155308641382717,0.00337940904965404,0.0991784877723163,-0.0053404239347674
8,-0.007341080170797991,0.000856318624505748,0.10736827173979,-0.005467083671792211
9,0.000848703796675759,0.000697988913048557,0.115558055707264,-0.0055851358005836104
10,0.009038487764149509,-0.000679473768987988,0.12374783967473801,-0.00569529757319768
11,0.0172282717316233,-0.00113041253002796,0.131937623642211,-0.00579607189149094
12,0.025418055699097,0.000596853628738065,0.14012740760968498,-0.00588702627272759
13,0.0336078396665708,0.000982760612483143,0.148317191577159,-0.00596839394299414
14,0.0417976236340445,0.00136866759622777,0.156506975544633,-0.0060430138513035
15,0.0499874076015183,0.0013498153138517901,0.164696759512106,-0.00611114001197425
16,0.05817719156899201,0.00133096303147581,0.17288654347958,-0.006173048131956771
17,0.0663669755364658,-0.00011930335141648899,0.181076327447054,-0.00622823250613003
18,0.0745567595039395,-0.0013197920611415699,0.189266111414528,-0.00627523657188159
19,0.0827465434714133,-0.00043446244885032,0.19745589538200098,-0.0063165962613197105
20,0.09093632743888698,-7.63534216028782e-06,0.20564567934947503,-0.00635541537954039
21,0.0991261114063608,0.00028644117882533997,0.21383546331694897,-0.00639035184522355
22,0.107315895373835,0.00040855667861378,0.222025247284423,-0.0064219942613641294
23,0.11550567934130801,-4.2592417068816706e-05,0.23021503125189602,-0.00645031210637555
24,0.123695463308782,-0.000493741512751413,0.23840481521937,-0.00647128991305014
25,0.131885247276256,-0.000282656483274112,0.246594599186844,-0.00648597720116343
26,0.14007503124373002,-0.00035043483460428,0.254784383154318,-0.00649701298520154
27,0.148264815211203,-0.000418213185934448,0.262974167121791,-0.00649998285424478
28,0.156454599178677,-0.00048334748711494806,0.271163951089265,-0.00649442773214761
29,0.164644383146151,-0.0005484817882954481,0.279353735056739,-0.0064856346806558204
30,0.17283416711362398,-0.000753824581085159,0.28754351902421305,-0.00647532489276718
31,0.18102395108109803,-0.00139891226350447,0.29573330299168604,-0.00646365897877111
32,0.18921373504857197,-0.00158143275606586,0.30392308695916,-0.00645059849218334
33,0.197403519016046,-0.000836428699834477,0.312112870926634,-0.00643655936971257
34,0.205593302983519,-0.000579991784480671,0.32030265489410803,-0.00642285343569815
35,0.21378308695099302,-0.00032355486912641,0.32849243886158197,-0.0064097352598166
36,0.22197287091846696,0.00022085246476005299,0.33668222282905497,-0.00639712773611961
37,0.230162654885941,7.227169287454391e-05,0.344872006796529,-0.00638478045422251
38,0.23835243885341398,-7.63090790109654e-05,0.353061790764003,-0.00637252561592976
39,0.246542222820888,-0.000609897475541458,0.36125157473147707,-0.00636035738182281
40,0.254732006788362,-0.00029073698554687,0.36944135869895006,-0.0063465264884555
41,0.26292179075583605,-0.000529861431052163,0.377631142666424,-0.0063283233014591106
42,0.27111157472331,-0.0007689858765579099,0.38582092663389794,-0.0063088188828531
43,0.279301358690783,-0.00144920250321893,0.394010710601372,-0.0062898411834323206
44,0.28749114265825704,-0.000285436466427318,0.402200494568846,-0.006270597844133179
45,0.29568092662573103,0.00129322755934401,0.410390278536319,-0.00625199036151596
46,0.30387071059320503,0.00161346170391401,0.4185800625037929,-0.00623362287925809
47,0.31206049456067797,0.00174159570895641,0.42676984647126703,-0.00621341207321443
48,0.32025027852815197,0.0010605532268521,0.434959630438741,-0.00619003975159183
49,0.328440062495626,0.000379510744748246,0.44314941440621397,-0.00616852412586684
50,0.33662984646309996,-0.00036146560496932203,0.451339198373688,-0.00614904933093797
51,0.344819630430573,-0.00185366944735017,0.459528982341162,-0.0061310248625432206
52,0.353009414398047,-0.00217512849861103,0.467718766308636,-0.0061087240733001605
53,0.361199198365521,-7.70632627464641e-05,0.47590855027610895,-0.00608121011676182
54,0.369388982332995,0.00045706868776864004,0.48409833424358295,-0.00605213508696568
55,0.377578766300469,0.00013272320624486,0.49228811821105706,-0.00602247202564425
56,0.38576855026794205,-0.00019162227527892099,0.5004779021785309,-0.00599260906745466
57,0.393958334235416,-0.000249964104944274,0.508667686146004,-0.0059635458223047605
58,0.40214811820289,0.0005522028663513981,0.5168574701134779,-0.00593567169720164
59,0.41033790217036403,0.000363188603410217,0.525047254080952,-0.00590889339264238
60,0.41852768613783703,0.00017417434046903602,0.533237038048426,-0.0058820541794406
61,0.426717470105311,-0.0008341775688794889,0.541426822015899,-0.00585155136227107
62,0.434907254072785,-0.000862167066977357,0.549616605983373,-0.00581778420101154
63,0.44309703804025896,0.0007602111885459,0.5578063899508471,-0.00578372148601913
64,0.451286822007733,0.0007570479582128441,0.5659961739183199,-0.00575035619505526
65,0.45947660597520595,0.000753884727879333,0.574185957885794,-0.00571806406030416
66,0.46766638994268,6.359689681795389e-05,0.5823757418532679,-0.00568514005812954
67,0.47585617391015395,-0.00035415293584218,0.5905655258207421,-0.005650002429165729
68,0.484045957877628,-0.000469694397186425,0.5987553097882149,-0.00561303895640245
69,0.49223574184510105,-0.000299469047908507,0.606945093755689,-0.0055757201840798
