Method,Cell,Temperature,190.0,191.0,192.0,193.0,194.0,195.0,196.0,197.0,198.0,199.0,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,208.0,209.0,210.0,211.0,212.0,213.0,214.0,215.0,216.0,217.0,218.0,219.0,220.0,221.0,222.0,223.0,224.0,225.0,226.0,227.0,228.0,229.0,230.0,231.0,232.0,233.0,234.0,235.0,236.0,237.0,238.0,239.0,240.0,241.0,242.0,243.0,244.0,245.0,246.0,247.0,248.0,249.0,250.0
CircularDichroism,1,20.0,-0.503214,0.463545,-0.326749,-1.0282,-0.327123,-0.52307,-0.524004,0.450646,-0.920426,-3.64294,-5.7506,-11.5262,-17.2283,-22.459,-28.2526,-31.2873,-32.9843,-32.6096,-32.2704,-30.6441,-29.2869,-27.8129,-26.6713,-25.9755,-24.7814,-24.2327,-23.4354,-22.6705,-21.6262,-21.1079,-20.344,-19.5257,-18.5152,-17.2541,-16.2663,-14.7185,-13.4597,-11.8374,-10.2461,-8.61861,-6.75448,-5.41085,-4.70396,-4.09762,-3.84546,-3.66219,-3.52149,-3.23947,-3.15215,-2.97328,-2.88022,-2.5181,-2.27515,-2.0509,-1.7327,-1.45802,-1.39346,-1.18763,-0.78442,-0.805966,-0.752059
CircularDichroism,1,25.0,1.16265,0.303692,0.619683,0.949056,0.578349,-0.153005,-1.15898,-0.35907,-0.840962,-2.2228,-7.32127,-11.2191,-17.2335,-24.2844,-29.128,-32.1917,-33.2361,-33.2765,-32.2206,-30.64,-29.5356,-27.8015,-26.5369,-25.4593,-24.6824,-23.8249,-23.1436,-22.6303,-21.7064,-20.88,-19.8761,-19.0475,-18.4428,-17.1107,-15.7215,-14.3858,-13.0486,-11.5145,-10.1447,-8.02892,-6.39079,-5.56088,-4.4127,-4.04593,-3.89917,-3.43751,-3.26348,-3.28331,-3.0388,-3.05832,-2.93824,-2.49351,-2.28739,-2.06753,-1.70797,-1.44768,-1.29029,-1.1378,-0.916787,-0.870076,-0.708888
CircularDichroism,1,30.0,-0.884627,0.391658,-0.0283213,0.372318,-0.371376,0.530866,-0.640543,-0.701125,-0.578208,-3.15529,-6.48754,-12.4623,-18.5241,-24.9887,-30.126,-32.0053,-34.0767,-33.2794,-32.8271,-30.8467,-29.5063,-27.7281,-26.0733,-25.2089,-24.5087,-23.7468,-22.7161,-22.1545,-21.2778,-20.4557,-19.6128,-18.9144,-18.3042,-16.7395,-15.4367,-14.2036,-12.8342,-10.9861,-9.71493,-8.03562,-6.48748,-5.24805,-4.39093,-4.0606,-3.68523,-3.40039,-3.19416,-3.1505,-3.04574,-2.88965,-2.81873,-2.559,-2.26289,-1.9568,-1.66346,-1.47654,-1.32667,-1.08272,-0.912107,-0.763482,-0.556405
CircularDichroism,1,35.0,0.700834,0.0737523,-0.622224,-0.170392,-1.10384,-0.658696,-1.93419,-0.973338,-1.14753,-3.25578,-7.12096,-12.2354,-19.4594,-25.666,-30.6774,-33.5252,-34.5044,-33.4542,-32.3547,-31.149,-29.4915,-27.886,-26.3366,-24.8731,-24.188,-23.4271,-22.7102,-22.0483,-21.3611,-20.4308,-19.2926,-18.6388,-17.4399,-16.6263,-15.2452,-13.6401,-12.4174,-10.8125,-9.61676,-7.84361,-6.28683,-5.14827,-4.29518,-3.70831,-3.56919,-3.31077,-3.13141,-2.98759,-2.90493,-2.71997,-2.70189,-2.57671,-2.32464,-2.13701,-1.77479,-1.47977,-1.30586,-1.18394,-0.934551,-0.856113,-0.668826
CircularDichroism,1,40.0,0.291196,0.955872,1.36547,1.33685,0.533438,0.219773,-0.407014,-0.397064,0.464261,-3.05882,-7.46183,-14.1239,-19.9714,-26.4119,-30.7808,-34.1696,-34.924,-34.1078,-33.0109,-30.7342,-29.235,-27.4046,-25.9228,-24.9821,-23.9417,-23.2728,-22.4537,-21.9389,-20.7733,-20.1917,-19.2682,-18.1743,-17.1223,-16.1085,-14.8201,-13.381,-12.1043,-10.638,-9.17977,-7.79047,-6.16769,-5.04087,-4.12822,-3.68099,-3.60885,-3.25181,-3.06957,-2.99134,-2.93768,-2.84628,-2.65215,-2.433,-2.11197,-1.93526,-1.62612,-1.51175,-1.35236,-1.15064,-0.978091,-0.882688,-0.731674
CircularDichroism,1,45.0,1.81641,1.22952,1.35376,1.40246,1.88682,3.22372,1.521,1.11951,-0.0112714,-1.20094,-6.88695,-14.4036,-20.8636,-28.0247,-32.337,-35.2155,-34.9549,-34.3835,-32.844,-30.7748,-29.1844,-27.2808,-26.2628,-24.5642,-23.8974,-22.7992,-21.8856,-21.4727,-20.3044,-19.5595,-18.7499,-17.9129,-16.9364,-15.5522,-14.6182,-13.1417,-11.9799,-10.2214,-9.22736,-7.52044,-6.19401,-5.00234,-4.2715,-3.57542,-3.408,-3.24215,-3.16431,-2.99253,-2.79796,-2.76369,-2.77657,-2.39491,-2.261,-1.96793,-1.69264,-1.48984,-1.31856,-1.18394,-0.840606,-0.833398,-0.659911
CircularDichroism,1,50.0,0.501863,0.877581,1.89046,1.54259,-0.0617203,1.78744,1.57118,-0.679633,-1.38151,-5.07012,-8.0009,-15.9727,-23.959,-30.2679,-34.0532,-36.0275,-35.3511,-34.9131,-33.2816,-30.8872,-28.9695,-27.0559,-25.1386,-24.5792,-23.2369,-22.706,-22.1728,-21.1259,-20.3844,-19.507,-18.5578,-17.6758,-16.7883,-15.7318,-14.2607,-13.1099,-11.8287,-10.2576,-8.90495,-7.33738,-6.06329,-4.89391,-4.16751,-3.71701,-3.53037,-3.26072,-3.05231,-3.13802,-2.81709,-2.7558,-2.55415,-2.31595,-2.19662,-1.94353,-1.72004,-1.42052,-1.1802,-1.01587,-0.741309,-0.799354,-0.743515
CircularDichroism,1,55.0,0.28658,2.54385,2.46746,0.765035,-1.23409,-0.268292,-2.07425,0.728747,0.313033,-4.43221,-9.98646,-18.965,-25.3549,-32.3674,-36.5964,-37.0304,-36.3538,-34.9148,-33.2117,-30.6991,-28.7202,-27.1945,-25.4233,-24.1476,-23.1017,-22.2997,-21.5246,-20.8455,-19.7494,-19.1084,-18.36,-17.5767,-16.6485,-15.3862,-14.2222,-12.8763,-11.7949,-10.1773,-9.04576,-7.59491,-6.06613,-5.23709,-4.22766,-3.97607,-3.71614,-3.47266,-3.28437,-3.10126,-2.93866,-2.73367,-2.73973,-2.36693,-2.16948,-1.91844,-1.65287,-1.43455,-1.35119,-1.07141,-0.761493,-0.818875,-0.667255
CircularDichroism,1,60.0,-2.57255,-3.56514,-2.24291,1.58337,-1.30503,-4.03882,-1.04703,-3.90406,-7.2113,-6.29439,-8.53406,-18.5823,-25.7332,-32.5603,-34.7071,-35.9221,-35.5926,-34.2748,-32.5758,-29.9061,-27.8947,-26.4538,-24.4958,-23.4242,-22.1999,-21.4954,-20.6708,-20.24,-19.3218,-18.6098,-17.9503,-17.1364,-16.533,-15.2839,-14.1669,-12.9186,-11.8471,-10.1935,-9.1663,-7.67223,-6.45166,-5.6058,-4.54989,-4.35397,-4.20079,-3.73527,-3.38269,-3.28482,-3.01803,-2.97792,-2.76944,-2.35991,-2.15137,-1.90092,-1.6277,-1.52418,-1.34279,-1.05728,-0.868135,-0.746742,-0.779039
