,time (min),Molar Mass 1,time (min).1,Molar Mass 2,time (min).2,LS,time (min).3,UV
39,23.210696467617304,28423.493480984504,26.0853106402006,14156.4725761854,22.195163255650503,0.0183949664294646,22.195215632016502,0.00921899986219879
40,23.218886251584802,28420.1589576012,26.093500424168102,14593.504387404299,22.203353039618,0.0182394961031497,22.203405415984,0.009234061966760541
41,23.2270760355522,28192.046765947598,26.1016902081355,14600.938955894399,22.2115428235855,0.0182500432247636,22.2115951999515,0.0092480662239355
42,23.2352658195197,28162.103535706497,26.109879992103,14606.253488844499,22.219732607553002,0.018918448568835,22.2197849839189,0.0092605535503115
43,23.243455603487202,27936.690593478597,26.1180697760705,14440.2327523705,22.2279223915204,0.0186874224385306,22.2279747678864,0.009271603166036129
44,23.2516453874547,27965.1610789373,26.126259560037898,14646.555290189299,22.2361121754879,0.0184563963082257,22.2361645518539,0.00928686108923114
45,23.2598351714221,27699.121810406097,26.1344493440054,14703.3519200805,22.2443019594554,0.0173128582309523,22.2443543358214,0.00930386977592723
46,23.2680249553896,27499.871202167404,26.1426391279729,14215.418329759299,22.252491743422897,0.0176440151986908,22.252544119788798,0.00932283449012806
47,23.2762147393571,27877.4221124844,26.150828911940398,14316.233867076202,22.2606815273903,0.0178004345464365,22.2607339037563,0.00934279297959241
48,23.2844045233246,27926.723123264,26.159018695907804,14094.960789396499,22.2688713113578,0.0178208829376588,22.2689236877238,0.00936311036508802
49,23.292594307292,28219.008560271202,26.167208479875303,14247.8677554898,22.277061095325305,0.0178413313288807,22.277113471691198,0.00938647196053171
50,23.300784091259498,28219.697945838197,26.1753982638428,14336.7846539474,22.285250879292803,0.0194117252490591,22.285303255658697,0.009410832562690609
51,23.308973875226997,28561.483239987403,26.1835880478103,14363.4027240512,22.2934406632602,0.0197755803361355,22.2934930396262,0.0094366296659082
52,23.3171636591945,28208.1724885256,26.191777831777703,14348.362975865,22.301630447227698,0.0195238131637043,22.301682823593698,0.00946582803663431
53,23.325353443161898,28177.9548188546,26.1999676157452,14445.7037548913,22.309820231195197,0.0192720459912736,22.3098726075611,0.00949721359447471
54,23.333543227129397,28001.369839606803,26.2081573997127,14437.131330181,22.318010015162695,0.0191996094429469,22.318062391528603,0.00953231232011774
55,23.341733011096895,28500.0441401741,26.2163471836802,14826.370067672,22.3261997991301,0.0191271728946198,22.3262521754961,0.00957021075556728
56,23.349922795064302,28377.9077477448,26.2245369676476,14694.333136725802,22.3343895830976,0.0189123438012472,22.3344419594636,0.00960880684034794
57,23.3581125790318,28233.7696088655,26.2327267516151,14682.0661642958,22.3425793670651,0.0181261638237174,22.342631743431,0.009651891075294341
58,23.3663023629993,28175.3373758276,26.2409165355826,14670.0357265855,22.3507691510325,0.0177353271749019,22.3508215273985,0.00970015601844059
59,23.3744921469668,28543.9631191021,26.249106319550098,14505.659052291001,22.358958935,0.0173181286128711,22.359011311366,0.00975052318109067
60,23.3826819309342,28824.856637274,26.2572961035175,14438.8966277855,22.3671487189675,0.0177116564044956,22.3672010953335,0.00980350611933647
61,23.3908717149017,28404.6420799672,26.265485887485,14463.2196043159,22.375338502934998,0.0179542798976016,22.375390879300898,0.00986068792903685
62,23.399061498869198,28466.948875050897,26.273675671452498,14481.668556709099,22.3835282869024,0.0180175276368766,22.3835806632684,0.00991986974461714
63,23.4072512828367,28332.0208887572,26.281865455420004,14607.2646723653,22.3917180708699,0.0180807753761516,22.3917704472359,0.00998001696399099
64,23.415441066804103,28203.7511442668,26.2900552393874,14612.8646648815,22.399907854837398,0.018177679254111997,22.399960231203398,0.0100447162260518
65,23.423630850771605,28331.637652026602,26.298245023354898,14785.983308827299,22.408097638804897,0.0177941131999547,22.408150015170804,0.0101177047925178
66,23.431820634739104,28328.715859032203,26.306434807322397,14734.332839081,22.416287422772303,0.0174105471457973,22.416339799138303,0.0101969624423199
67,23.440010418706603,28602.8553844585,26.314624591289803,14543.689918471498,22.4244772067398,0.0181172835511603,22.4245295831058,0.0102814505522296
68,23.448200202674,28969.4868602987,26.322814375257302,14462.2961741512,22.4326669907073,0.0195848698242917,22.432719367073197,0.010369306216578
69,23.4563899866415,28674.819885562796,26.3310041592248,15082.312107428601,22.440856774674803,0.019791328899318002,22.440909151040696,0.0104606586270025
70,23.464579770609003,28391.498649419704,26.3391939431923,15034.1896038821,22.449046558642202,0.0199977879743443,22.4490989350082,0.010560130129834998
71,23.4727695545765,29228.1896280433,26.347383727159702,14804.257561421799,22.4572363426097,0.0198948509029651,22.4572887189757,0.0106668952116397
72,23.480959338543897,28247.6561102955,26.3555735111272,14715.1973408827,22.4654261265772,0.0197919138315863,22.4654785029431,0.0107791996469711
73,23.489149122511396,28336.256235676603,26.3637632950947,14872.7893340374,22.4736159105447,0.0191636550776141,22.473668286910602,0.0108957990215481
74,23.497338906478895,28760.2365820218,26.371953079062198,14889.496492605,22.4818056945121,0.0188361693138776,22.4818580708781,0.0110172335847384
75,23.5055286904463,28974.773764045898,26.3801428630296,14985.543827593501,22.4899954784796,0.0192595876101089,22.4900478548456,0.0111467340100379
76,23.5137184744138,28456.132688320897,26.388332646997103,15431.0234843703,22.498185262447098,0.0196830059063402,22.498237638813,0.0112865083112796
77,23.5219082583813,28618.6598515007,26.396522430964602,15267.1537906246,22.5063750464146,0.0213034250209216,22.5064274227805,0.0114345203546166
78,23.5300980423488,29167.3542085048,26.404712214932104,15116.675035641101,22.514564830382,0.0218113178288214,22.514617206748,0.0115881002834542
79,23.5382878263162,29262.4875649359,26.4129019988995,14979.9811881769,22.5227546143495,0.0219113015716348,22.522806990715498,0.0117501038698122
80,23.5464776102837,28768.702488567596,26.421091782867,15008.5566576905,22.530944398316997,0.0218826884135487,22.530996774682897,0.0119236002985697
